Line_number2,objID,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,Redshift
689,1237651213359513897,257.32173195541,61.8895567222338,GALAXY,19.06496,18.79103,18.26311,18.05683,17.59118,395351149558917120,0.2924467
728,1237651213360627946,258.960419515635,59.5968871003086,GALAXY,17.91149,16.49425,15.71965,15.28342,14.99579,397605698285889536,0.06597698
742,1237651213896712338,258.580147156057,61.3290781168839,STAR,18.67133,18.67782,18.44461,17.93057,17.81633,398667553133586432,1.848895
755,1237651225708986496,258.468435426972,58.7003481507825,STAR,18.40488,17.90664,17.77907,17.50023,17.42344,397456714460325888,0.5211675
767,1237651226244415653,257.074412813264,61.9135153913434,STAR,18.40419,18.24163,17.83853,17.68475,17.65491,395342080014051328,1.414322
767,1237651226244415653,257.074412813264,61.9135153913434,STAR,18.40419,18.24163,17.83853,17.68475,17.65491,395340704198453248,1.414031
770,1237651226244546609,257.082473656542,61.7020171540667,STAR,17.44782,17.18941,16.85608,16.73904,16.74984,395340155868702720,1.350859
770,1237651226244546609,257.082473656542,61.7020171540667,STAR,17.44782,17.18941,16.85608,16.73904,16.74984,395344552489150464,1.352312
782,1237651226782138549,258.823220284474,60.2769807808929,STAR,20.65487,20.27148,20.31894,20.33769,19.95817,398656558017308672,2.451782
784,1237651226782138492,258.940000196025,60.1887568499626,STAR,19.99281,19.93713,19.87405,19.80515,19.46418,398654908749867008,2.023545
785,1237651226782204181,258.933437372872,60.1431700037512,GALAXY,19.97102,18.46771,17.34531,16.91395,16.68045,397598826338215936,0.1568571
789,1237651226783187491,260.451143181893,57.9681536341384,STAR,20.41236,20.19076,20.09867,19.73808,19.59496,400902035421030400,1.618723
789,1237651226783187491,260.451143181893,57.9681536341384,STAR,20.41236,20.19076,20.09867,19.73808,19.59496,412158564581271552,1.616132
793,1237651537632559181,153.863578685123,62.9865531546449,GALAXY,18.95843,18.78399,18.40569,18.20138,17.68991,549462826150815744,0.3505344
794,1237651271358021745,155.187966861516,63.1966681369084,GALAXY,19.65176,18.89722,18.18778,17.78455,17.65709,549454854691514368,0.2067155
815,1237651271884996806,124.028721527071,48.3477689920976,STAR,20.15153,19.58675,19.4255,19.40637,19.25774,4158044100857884672,2.525382
816,1237651271884996929,124.079163751022,48.3912352772014,STAR,26.15562,20.27711,19.09575,18.8647,18.70711,495410284286994432,3.578374
816,1237651271884996929,124.079163751022,48.3912352772014,STAR,26.15562,20.27711,19.09575,18.8647,18.70711,495413583274862592,3.57823
