Name,type,RA,Dec,Mv,Mstar,Re,Sig
B341-G081,5,10.28815,40.598025,-8.8,4.70E+05,2.4,8.2
B343-G105,5,10.429592,40.20625,-8.4,3.03E+05,3.6,11.1
B350-G162,5,10.618508,40.4142,-8.1,2.35E+05,4.6,6.4
B358-G219,5,10.824421,39.820328,-9.5,7.79E+05,3.5,12.2
B373-G305,5,11.424383,41.759311,-9.1,1.26E+06,2.4,14.3
B379-G312,5,11.495158,40.708714,-8.6,7.11E+05,2.4,9.2
B384-G319,5,11.5914,40.283222,-9.1,8.16E+05,2.6,10.5
B386-G322,5,11.612567,42.031319,-9.2,8.35E+05,2.5,13.2
B405-G351,5,12.415842,41.591583,-9.6,1.08E+06,4,13
B407-G352,5,12.541483,41.683594,-8.8,7.11E+05,2.9,10.5
B472-D064,5,10.951758,41.44805,-9.6,1.08E+06,1.7,18.5
G001-MII,5,8.1939,39.577964,-10.9,4.59E+06,3.2,25.8
G002-MIII,5,8.390742,39.521922,-8.7,4.38E+05,3.2,11.2
UCD14/Firth07-11,5,54.198708,-35.809444,-11.2,4.32E+06,6.4,
UCD15/Firth07-12,5,54.215417,-35.510806,-11,2.99E+06,11.8,
UCD1/Firth07-13,5,54.263458,-35.634639,-12.3,1.97E+07,22.4,29
UCD19,5,54.409542,-35.339056,-10.6,2.37E+06,7,
UCD6/FCOS2-2143,5,54.521167,-35.402667,-12.6,2.27E+07,10.3,28
UCD2/FCOS2-2111/F-1,5,54.526375,-35.483,-12.4,1.50E+07,23.1,22.2
FCOS2-2153/UCDm/F-2/UCD25,5,54.527,-35.384389,-11.5,1.43E+06,23.1,19.9
FCOS2-2134/F-5/UCD28,5,54.545,-35.4295,-11.6,1.37E+07,5,25.4
FCOS0-2023/F-34,5,54.552917,-35.4825,-10.9,4.73E+06,4,15.3
FCOS0-2024/UCD31/F-6,5,54.568792,-35.438694,-11.2,1.80E+06,7.3,14
FCOS0-2089/F-51,5,54.571208,-35.441889,-10.7,4.52E+06,4.2,20.9
UCD33/F-7,5,54.573375,-35.550778,-11.1,4.12E+06,11.4,12.2
FCOS0-2066/F-8/UCD36,5,54.596792,-35.3335,-11.4,1.12E+07,6.7,30.2
