Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC5493,EsS0s,212.872421,-5.043663,-21.6,6.30E+10,2725.2,161.4
NGC5500,EsS0s,212.563522,48.546066,-19,1.85E+10,2504,82.2
NGC5507,EsS0s,213.332825,-3.14886,-20.3,4.09E+10,1653.6,208.9
NGC5557,EsS0s,214.607117,36.49369,-22,2.14E+11,5289.4,254.7
NGC5574,EsS0s,215.233109,3.237995,-19.4,1.21E+10,1482.7,76.7
NGC5576,EsS0s,215.265381,3.271049,-21.2,7.59E+10,3373.1,185.8
NGC5582,EsS0s,215.179703,39.693584,-20.4,5.48E+10,3882,151.4
NGC5611,EsS0s,216.019897,33.047501,-19.3,2.01E+10,1025,131.8
NGC5631,EsS0s,216.638687,56.582664,-20.8,6.93E+10,3349.2,161.1
NGC5638,EsS0s,217.418289,3.233443,-20.9,8.07E+10,3538.5,159.2
NGC5687,EsS0s,218.718201,54.475685,-20.3,8.47E+10,3468.5,190.5
NGC5770,EsS0s,223.312653,3.959721,-19.2,8.53E+09,1438,97.3
NGC5813,EsS0s,225.296936,1.70197,-22.2,2.61E+11,8093.2,225.9
NGC5831,EsS0s,226.029266,1.219917,-20.8,6.50E+10,3533.3,166
NGC5838,EsS0s,226.359467,2.099356,-21.2,1.44E+11,2500.5,276.1
NGC5839,EsS0s,226.364471,1.634633,-19.6,2.61E+10,1923.1,161.4
NGC5845,EsS0s,226.503281,1.633824,-20,3.07E+10,620.8,269.8
NGC5846,EsS0s,226.621887,1.605637,-22.1,3.23E+11,6956.5,231.7
NGC5854,EsS0s,226.948853,2.56856,-20.4,2.40E+10,2013.1,115.1
NGC5864,EsS0s,227.389786,3.052741,-20.7,5.08E+10,2697.6,119.9
NGC5866,EsS0s,226.623169,55.763309,-21.1,9.98E+10,2759.1,160.3
NGC5869,EsS0s,227.456055,0.469967,-20.4,6.07E+10,2659.3,182
NGC6014,EsS0s,238.989105,5.931838,-20.1,2.28E+10,4087.5,89.7
NGC6017,EsS0s,239.314529,5.998364,-19.6,1.52E+10,1174.8,109.9
NGC6149,EsS0s,246.851151,19.59729,-19.7,1.57E+10,1973,107.4
NGC6278,EsS0s,255.209763,23.010956,-21.3,8.91E+10,2931.1,217.8
NGC6547,EsS0s,271.291748,25.232645,-20.7,6.78E+10,2085.6,192.8
NGC6548,EsS0s,271.496826,18.587217,-20.3,5.88E+10,3888.9,173.8
NGC6703,EsS0s,281.828522,45.550648,-20.9,9.44E+10,3836,182
NGC6798,EsS0s,291.013306,53.624752,-20.6,3.91E+10,2252.2,137.1
NGC7280,EsS0s,336.614899,16.148266,-19.9,1.82E+10,2462.2,115.1
NGC7332,EsS0s,339.352173,23.798351,-20.8,3.08E+10,1697.5,139
NGC7454,EsS0s,345.27713,16.388371,-20.1,3.69E+10,2691.9,111.9
NGC7457,EsS0s,345.249725,30.144892,-19.5,9.42E+09,2345.1,74.8
NGC7465,EsS0s,345.503967,15.964876,-19.9,1.45E+10,1307.5,93.5
NGC7693,EsS0s,353.293671,-1.29201,-18.7,9.89E+09,2121.2,65.5
NGC7710,EsS0s,353.942261,-2.880941,-19.1,1.15E+10,1002.4,104.5
PGC016060,EsS0s,72.143387,-3.867104,-19.7,2.79E+10,1596.1,98.2
PGC035754,EsS0s,173.614716,33.178913,-19,1.72E+10,1654.4,116.7
PGC042549,EsS0s,190.316513,-5.009177,-19.8,1.69E+10,1645,100.9
PGC054452,EsS0s,228.89418,2.248187,-18.7,6.92E+09,1889.7,65.8
PGC056772,EsS0s,240.54834,7.085953,-19.1,1.75E+10,1837.3,82.4
PGC170172,EsS0s,176.73172,-5.187745,-19,4.68E+09,1230.1,104.7
UGC03960,EsS0s,115.094856,23.275089,-19,2.40E+10,3521.4,88.3
UGC04551,EsS0s,131.024582,49.793968,-20,3.44E+10,1083.3,184.1
UGC05408,EsS0s,150.966095,59.436138,-19.1,7.06E+09,1292.5,83
UGC06062,EsS0s,164.656662,9.050468,-19.9,3.11E+10,1955.6,143.2
UGC06176,EsS0s,166.852753,21.657185,-19.8,1.21E+10,1891.1,110.9
UGC08876,EsS0s,209.241943,45.973179,-19.5,2.79E+10,1124,141.9
UGC09519,EsS0s,221.588028,34.370651,-19.1,1.04E+10,991.9,98.2
LEDA074886,dEsdS0s,55.18,-18.645278,-16.8,9.89E+08,1130,22.9
PGC032348,dEsdS0s,162.22375,14.124444,-15.1,5.96E+07,638,15.4
VCC0021,dEsdS0s,182.596208,10.188544,-16.6,2.27E+08,922.6,26.1
VCC0178,dEsdS0s,184.03775,12.6913,-16.1,4.12E+08,696.8,50
VCC0308,dEsdS0s,184.712042,7.861889,-17.6,7.85E+08,1465.6,31.7
VCC0389,dEsdS0s,185.013708,14.961522,-17.2,1.50E+09,873,23
VCC0437,dEsdS0s,185.203417,17.487064,-17.2,1.04E+09,2010.2,47
VCC0452,dEsdS0s,185.269583,11.755,-15.8,2.07E+08,627,23.8
VCC0490,dEsdS0s,185.411625,15.745125,-17.4,2.37E+09,1393.6,34
VCC0523,dEsdS0s,185.517125,12.787483,-17.9,1.97E+09,1811.3,45.8
VCC0543,dEsdS0s,185.581375,14.760781,-17.2,1.04E+09,1433.6,48
VCC0545,dEsdS0s,185.581708,15.733578,-16,4.12E+08,760.8,31
VCC0634,dEsdS0s,185.833458,15.820378,-17.2,1.43E+09,1329.5,26
VCC745/NGC4366,dEsdS0s,186.195833,7.352778,-16.4,1.72E+09,808,44.7
VCC0846,dEsdS0s,186.460417,13.197778,-15.3,1.80E+08,1019,19
VCC0856,dEsdS0s,186.491375,10.053767,-17.2,1.08E+09,1177.3,31
VCC0917/IC3344,dEsdS0s,186.635,13.578611,-17.2,5.43E+08,787,41
VCC0940/IC3349,dEsdS0s,186.69625,12.454167,-16.3,1.04E+09,1124,32.4
VCC0965,dEsdS0s,186.762792,12.560817,-16,2.99E+08,1105.2,34
VCC0990,dEsdS0s,186.820583,16.024467,-17,9.89E+08,776.9,53
VCC1010,dEsdS0s,186.864083,12.290286,-17.8,3.76E+09,1834,43
VCC1036,dEsdS0s,186.921833,12.3159,-17.9,2.72E+09,1169.3,53
VCC1073/IC794,dEsdS0s,187.035833,12.093333,-17.2,2.72E+09,724,45.6
VCC1075,dEsdS0s,187.051333,10.297658,-16.7,8.61E+08,1169.3,53
VCC1087,dEsdS0s,187.062,11.789828,-17.5,2.48E+09,1513.7,63
VCC1087/IC3381,dEsdS0s,187.062917,11.789722,-16.8,2.07E+09,1168,38.7
VCC1122,dEsdS0s,187.173792,12.915917,-16.7,5.69E+08,913,40
VCC1183,dEsdS0s,187.343792,11.433886,-17.6,2.16E+09,840.9,56
VCC1250,dEsdS0s,187.496167,12.348656,-18.9,6.53E+09,1297.4,79
VCC1254,dEsdS0s,187.522083,8.074722,-16.5,6.84E+08,949,31
VCC1261/NGC4482,dEsdS0s,187.543333,10.779444,-17.5,3.76E+09,589,45.4
VCC1308/IC3437,dEsdS0s,187.690833,11.342778,-15.7,4.32E+08,764,33.2
VCC1407,dEsdS0s,188.01125,11.89,-16.4,2.48E+08,902,25.5
VCC1422,dEsdS0s,188.059208,10.251461,-18,2.99E+09,1545.7,44
VCC1431,dEsdS0s,188.097458,11.262969,-17.3,1.30E+09,781.6,54.1
VCC1491,dEsdS0s,188.308375,12.857822,-16.4,8.22E+08,816.9,47
VCC1545,dEsdS0s,188.548083,12.048964,-17.1,1.80E+09,897,59
VCC1549,dEsdS0s,188.561708,11.071525,-16.9,1.30E+09,935.4,38.9
VCC1577/IC3519,dEsdS0s,188.66,15.602778,-15.9,1.97E+08,689,26
VCC1695,dEsdS0s,189.228542,12.520075,-17.4,3.27E+08,1717.9,28.7
VCC1743,dEsdS0s,189.528292,10.082356,-15.9,2.85E+08,832.9,44
VCC1826,dEsdS0s,190.046667,9.896111,-15.9,9.02E+07,542,22.3
VCC1857,dEsdS0s,190.221333,10.475364,-16.4,2.48E+08,1665.9,46
